"","Year","G","AB","RB","H","DoublesB","TriplesB","HRB","RBI","SB","CSB","BB","SO","IBB","HBPB","SHB","SFB","GIDPB","yearID"
"1","1871",2296,10822,2659,3101,434,239,47,1783,441,123,393,175,0,0,0,0,74,1871
"2","1872",3306,15665,3390,4467,581,145,37,2132,269,134,263,265,0,0,0,0,97,1872
"3","1873",3604,16959,3580,4926,570,211,47,2331,314,131,335,278,0,0,0,0,122,1873
"4","1874",4199,19104,3470,5224,634,194,40,2252,242,97,238,357,0,0,0,0,107,1874
"5","1875",6248,26833,4234,6812,839,273,40,2710,629,320,249,675,0,0,0,0,142,1875
"6","1876",4696,20121,3066,5338,633,181,40,1984,0,0,336,589,0,0,0,0,0,1876
"7","1877",3247,13667,2040,3705,431,204,24,1410,0,0,345,726,0,0,0,0,0,1877
"8","1878",3319,13644,1904,3539,481,132,23,1331,0,0,364,1081,0,0,0,0,0,1878
"9","1879",5795,24155,3409,6171,958,317,58,2357,0,0,508,1843,0,0,0,0,0,1879
"10","1880",6157,24301,3191,5946,980,328,62,2223,0,0,740,1993,0,0,0,0,0,1880
"11","1881",6084,24377,3425,6339,1068,304,76,2488,0,0,1033,1784,0,0,0,0,0,1881
"12","1882",10305,41622,6092,10333,1616,623,178,3321,0,0,1592,2159,0,0,0,0,0,1882
"13","1883",14222,57670,9030,14828,2487,946,238,4522,0,0,2326,2877,0,0,0,0,0,1883
"14","1884",27831,109312,16742,26593,4020,1537,689,4897,0,0,4947,4335,0,468,0,0,0,1884
"15","1885",16121,62725,9292,15305,2193,965,323,6488,0,0,3530,3337,0,333,0,0,0,1885
"16","1886",19019,72927,11512,17974,2679,1155,413,8239,3243,0,5554,4248,0,309,0,0,0,1886
"17","1887",19159,74735,13417,20234,3088,1398,606,10393,6345,0,6053,5924,0,746,0,0,0,1887
"18","1888",19745,75439,10628,18000,2451,1054,521,8036,5260,0,4727,8213,0,824,0,0,0,1888
"19","1889",19982,76478,12986,20170,3015,1083,667,10227,4816,0,7316,7669,0,759,0,0,0,1889
"20","1890",29518,113243,19383,29472,4210,1895,764,14750,6870,0,11723,6587,0,1344,0,0,0,1890
"21","1891",20550,77660,12635,19709,2631,1269,585,9964,4165,0,8035,7656,0,985,0,0,0,1891
"22","1892",16965,63876,9388,15643,2007,1010,417,7360,3201,0,6178,5972,0,561,0,0,0,1892
"23","1893",14663,56898,10315,15913,2197,1047,460,8556,2752,0,6143,3341,0,639,0,0,0,1893
"24","1894",15012,57577,11796,17809,2753,1300,629,9983,3148,0,5870,3333,0,602,1156,0,0,1894
"25","1895",15044,56788,10514,16827,2414,997,488,8806,2895,0,5120,3621,0,668,997,0,0,1895
"26","1896",14968,55577,9560,16141,2166,1006,404,8045,3059,0,4854,3523,0,636,1163,0,0,1896
"27","1897",15263,56663,9536,16522,2322,964,368,8014,2705,0,4729,3729,0,750,1130,0,0,1897
"28","1898",17285,62661,9129,16955,2088,900,299,7630,2069,0,5092,4223,0,865,1346,0,0,1898
"29","1899",17431,62846,9672,17741,2201,1011,352,7997,2668,0,4979,3849,0,868,1323,0,0,1899
"30","1900",10874,39132,5932,10925,1432,607,254,4924,1686,0,3034,2681,0,513,806,0,0,1900
"31","1901",20872,77105,11073,20957,2931,1238,455,9136,2851,0,5465,6976,0,830,1672,0,0,1901
"32","1902",20953,76280,9897,20350,2832,983,354,8258,2684,0,5442,6630,0,716,1835,0,0,1902
"33","1903",21128,75439,9888,19776,3034,1161,335,8144,2742,0,5369,7899,0,729,2012,0,0,1903
"34","1904",23564,82488,9302,20363,2851,1154,331,7591,2781,0,5580,9299,0,777,2219,0,0,1904
"35","1905",23757,81842,9635,20298,2858,1120,338,7936,2946,0,6189,9523,0,818,2504,0,0,1905
"36","1906",23845,80061,8874,19742,2632,1004,261,7279,2997,0,6169,9110,0,728,2699,0,0,1906
"37","1907",24286,80304,8692,19701,2470,960,244,7075,2781,0,6101,8836,0,739,2602,0,0,1907
"38","1908",25150,80679,8417,19279,2523,1001,267,6822,2722,0,5860,9078,0,771,3231,0,0,1908
"39","1909",25306,80613,8797,19657,2659,1003,259,7125,3055,0,6505,9377,0,764,3116,0,0,1909
"40","1910",25837,81551,9577,20332,2815,1160,361,7858,3265,0,7419,9677,0,791,3020,0,0,1910
"41","1911",26097,82261,11161,21914,3265,1323,514,9318,3403,0,7838,4798,0,844,2884,0,0,1911
"42","1912",26047,82039,11165,22039,3353,1355,442,9346,3385,0,7683,4627,0,717,2765,0,0,1912
"43","1913",27076,81216,9960,21021,3070,1266,470,8350,3250,0,7267,9283,0,702,2541,0,0,1913
"44","1914",40913,122587,14530,31129,4625,1739,710,12224,4573,1370,11143,14757,0,991,4188,0,0,1914
"45","1915",40251,121704,14213,30460,4532,1769,635,11981,4106,2046,11120,14020,0,1015,4441,0,0,1915
"46","1916",27742,81923,8889,20285,2995,1141,383,7518,2753,836,7076,9534,0,640,2829,0,0,1916
"47","1917",27087,82055,8950,20391,2909,1138,335,7557,2413,0,6910,8680,0,579,3079,0,0,1917
"48","1918",21163,67315,7382,17085,2323,885,235,6200,1989,0,5749,5925,0,461,2446,0,0,1918
"49","1919",23726,74671,8668,19624,2922,1048,447,7425,2077,0,5982,6849,0,531,2718,0,0,1919
"50","1920",26447,84178,10762,23275,3609,1265,630,9342,1720,1563,6820,7247,0,561,3042,0,0,1920
"51","1921",26893,85172,11928,24782,3981,1364,937,10710,1487,1317,6847,6959,0,551,2986,0,0,1921
"52","1922",27290,85346,12057,24613,3944,1248,1055,10787,1451,1165,7253,6950,0,598,2958,0,0,1922
"53","1923",27541,85229,11872,24218,3922,1142,980,10668,1567,1258,7563,7021,0,605,2733,0,0,1923
"54","1924",27613,84666,11716,24271,4081,1175,896,10605,1501,1247,7364,6637,0,553,2705,0,0,1924
"55","1925",27977,85432,12593,24914,4337,1171,1169,11422,1388,1103,7744,6665,0,495,2555,0,0,1925
"56","1926",28247,83752,11443,23505,4142,1157,863,10448,1275,500,7703,6777,0,484,3200,0,0,1926
"57","1927",27955,84461,11748,23960,4148,1150,922,10758,1437,511,7445,6889,0,482,3183,0,0,1927
"58","1928",27899,84480,11650,23736,4223,1138,1093,10738,1269,482,7665,7099,0,454,2985,0,0,1928
"59","1929",27873,85210,12749,24642,4482,1166,1349,11794,1329,492,7992,6982,0,407,2713,0,0,1929
"60","1930",28132,86571,13695,25597,4756,1282,1565,12744,1080,423,7654,7934,0,408,2606,0,0,1930
"61","1931",27790,86624,11891,24046,4508,1070,1069,11049,1088,452,7679,7894,0,381,1437,0,0,1931
"62","1932",27819,87182,12114,24106,4579,1072,1358,11287,990,410,7549,7878,0,367,1479,0,0,1932
"63","1933",27626,85222,10989,22969,3945,967,1067,10209,860,376,7344,7444,0,351,1698,0,1105,1933
"64","1934",27648,85911,11999,23962,4314,882,1344,11219,909,315,7855,8432,0,342,1455,0,968,1934
"65","1935",27407,86437,12026,24074,4265,987,1325,11156,883,329,7834,8004,0,382,1549,0,910,1935
"66","1936",27865,87638,12846,24863,4471,979,1364,11930,963,320,8418,8235,0,413,1415,0,1003,1936
"67","1937",27675,85963,12070,23769,4216,997,1430,11208,1021,337,8443,9001,0,322,1420,0,956,1937
"68","1938",27228,85013,11969,23293,4046,935,1475,11237,896,325,8632,8335,0,348,1354,0,1038,1938
"69","1939",28202,84879,11876,23371,4139,916,1445,11040,957,345,8478,8501,0,353,2192,0,1945,1939
"70","1940",28193,86003,11568,23002,4101,929,1571,10702,953,333,8273,9049,0,358,1266,0,1825,1940
"71","1941",28331,85854,11168,22531,3958,867,1331,10325,882,323,8886,8826,0,312,1432,0,1869,1941
"72","1942",27632,83731,9995,21176,3477,723,1071,9187,961,390,8393,8325,0,339,1473,0,1756,1942
"73","1943",27695,84701,9687,21467,3467,757,905,8954,1010,449,8361,8546,0,327,1683,0,1881,1943
"74","1944",28325,85665,10350,22307,3653,808,1034,9579,920,339,7930,8185,0,349,1693,0,1853,1944
"75","1945",28095,84447,10286,21977,3497,728,1007,9499,978,373,8299,8045,0,361,1681,0,1710,1945
"76","1946",29588,84333,9953,21555,3579,783,1215,9205,884,340,8800,9696,0,316,1622,0,1865,1946
"77","1947",29274,84436,10827,22003,3568,804,1565,10110,760,333,9217,9157,0,317,1406,0,1938,1947
"78","1948",29780,84411,11327,22234,3686,834,1555,10589,812,288,9623,9016,0,342,1416,0,1934,1948
"79","1949",29511,84380,11425,22168,3602,761,1704,10642,730,299,10027,8951,0,375,1408,0,2132,1949
