"","Year","G","GS","InnOuts","PO","A","E","DP","PB","WP","SB","CSF","ZR","yearID"
"1","1871",2437,2286,60918,6750,2930,1934,337,490,0,0,0,0,1871
"2","1872",3474,3202,88971,9858,4222,2746,469,289,0,0,0,0,1872
"3","1873",3826,0,97002,10754,4858,3191,604,414,0,0,0,0,1873
"4","1874",4449,4173,112788,12509,5496,3774,537,359,0,0,0,0,1874
"5","1875",6621,0,167490,18571,8371,4802,844,816,0,0,0,0,1875
"6","1876",4891,0,128232,14231,5991,3123,611,453,0,0,0,0,1876
"7","1877",3374,0,87627,9731,4454,1857,500,359,0,0,0,0,1877
"8","1878",3413,0,89718,9951,4929,1778,547,443,0,0,0,0,1878
"9","1879",5910,0,156816,17404,8498,3126,885,776,0,0,0,0,1879
"10","1880",6428,0,163128,18114,8726,2949,1008,753,0,0,0,0,1880
"11","1881",6215,0,161826,17958,8629,2781,1250,665,0,0,0,0,1881
"12","1882",10570,0,273525,30339,14958,5439,1776,1275,0,0,0,0,1882
"13","1883",14706,0,374793,41570,19192,7669,2350,1904,0,0,0,0,1883
"14","1884",28553,0,727746,80703,37918,14556,4231,3905,0,0,0,0,1884
"15","1885",16366,0,424227,47090,22208,7010,2818,1856,0,0,0,0,1885
"16","1886",19334,0,492822,54707,26011,7927,3305,2292,0,0,0,0,1886
"17","1887",19482,0,494769,54898,26687,8060,3521,1822,0,0,0,0,1887
"18","1888",19952,0,518784,57575,27626,7517,3282,1641,0,0,0,0,1888
"19","1889",20191,0,514185,57089,27757,7457,4045,1407,0,0,0,0,1889
"20","1890",29791,0,759666,84232,40882,10693,5741,1605,0,6851,4066,0,1890
"21","1891",20781,0,525297,58284,28229,7053,3865,981,0,4163,2482,0,1891
"22","1892",17068,0,434775,48255,23721,5579,3230,747,0,3198,1877,0,1892
"23","1893",14696,0,374298,41549,20669,4581,3116,536,0,2750,1614,0,1893
"24","1894",15041,0,373002,41432,19766,4853,3181,419,0,3147,1843,0,1894
"25","1895",15031,0,372429,41358,20103,4619,2975,394,0,2896,1695,0,1895
"26","1896",14850,0,371325,41218,20159,4081,3016,355,0,3059,1810,0,1896
"27","1897",15126,0,377760,41945,20339,4029,2649,332,0,2705,1577,0,1897
"28","1898",17167,0,430569,47798,23464,4387,3314,349,0,2069,1658,0,1898
"29","1899",17227,0,428511,47574,24183,4458,3348,322,0,2667,2117,0,1899
"30","1900",10673,0,267651,29716,15321,2757,2036,333,0,1685,1351,0,1900
"31","1901",20652,0,527604,58557,28892,5327,3730,416,0,2851,2274,0,1901
"32","1902",20721,0,532428,59105,29458,4751,3920,340,0,2681,2145,0,1902
