"","Year","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HRP","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","RP","SHP","SFP","GIDPP","yearID"
"1","1871",120,120,277,254,231,4,4,6750,3101,1055,47,393,175,0,113.84,0,208,0,2,11215,23,2659,0,0,0,1871
"2","1872",178,178,405,366,327,10,7,9858,4467,1335,37,263,265,0,115.45,0,202,0,2,15928,39,3390,0,0,0,1872
"3","1873",197,197,434,398,362,8,9,10754,4926,1353,47,335,278,0,107.6,0,124,0,1,17294,36,3580,0,0,0,1873
"4","1874",231,231,490,464,439,15,3,12509,5224,1015,40,238,357,0,69.52,0,127,0,0,19342,25,3470,0,0,0,1874
"5","1875",335,335,763,690,621,49,18,18571,6812,1531,40,249,675,0,202.97,0,330,0,5,27082,69,4234,0,0,0,1875
"6","1876",257,257,570,520,472,46,13,14218,5338,1215,40,336,589,0,115.13,0,187,0,0,20536,48,3066,0,0,0,1876
"7","1877",177,177,395,360,326,20,4,9723,3705,1011,24,346,726,0,80.94,0,202,0,0,14009,34,2040,0,0,0,1877
"8","1878",180,180,385,368,352,25,1,9972,3537,851,23,364,1081,0,87.86,0,236,0,0,14017,16,1904,0,0,0,1878
"9","1879",316,316,676,642,609,44,2,17391,6171,1608,58,508,1843,0,160.27,0,363,0,0,24666,33,3409,0,0,0,1879
"10","1880",332,332,756,680,608,51,13,18094,5943,1591,62,739,1989,0,116.25,0,294,0,0,25041,72,3191,0,0,0,1880
"11","1881",334,334,714,672,631,52,3,17965,6331,1846,76,1036,1784,0,104.55,0,343,0,4,25411,41,3425,0,0,0,1881
"12","1882",566,566,1208,1142,1080,66,2,30448,10332,3161,178,1589,3341,0,293.7,0,598,0,1,43328,62,6092,0,0,0,1882
"13","1883",778,778,1697,1570,1449,74,13,41627,14828,4958,238,2329,5294,0,452.99,0,786,0,1,60043,121,9030,0,0,0,1883
"14","1884",1501,1501,3270,3074,2885,194,17,80835,26592,9305,689,4947,14837,0,1116.41,0,2183,472,13,115408,189,16740,0,0,0,1884
"15","1885",886,886,1853,1780,1710,110,14,47161,15308,5296,323,3529,6704,0,527.22,0,1212,333,37,66607,70,9292,0,0,0,1885
"16","1886",1021,1021,2197,2098,2004,101,11,54846,17975,6847,413,5573,9051,0,789.31,0,1468,310,7,78967,94,11513,0,0,0,1886
"17","1887",1025,1025,2215,2112,2017,73,17,55110,20225,8517,606,6052,5915,0,828.64,0,1298,751,10,81427,95,13413,0,0,0,1887
"18","1888",1069,1069,2261,2180,2102,154,11,57785,18001,6304,521,4726,8234,0,504.18,0,1333,830,8,81057,78,10633,0,0,0,1888
"19","1889",1062,1062,2438,2176,1930,91,38,57061,20108,8310,667,7317,7685,0,686.27,0,1131,793,1,84510,246,12986,0,0,0,1889
"20","1890",1577,1577,3568,3218,2880,134,48,84504,29445,12150,764,11721,10946,0,1253.47,0,1598,1348,23,126492,338,19383,0,0,0,1890
"21","1891",1088,1088,2549,2216,1898,95,49,58361,19709,7620,585,8035,7656,0,754.03,0,1013,985,6,86760,318,12635,0,0,0,1891
"22","1892",898,898,2059,1836,1623,89,24,48320,15643,5878,417,6178,5978,0,517.4,0,603,561,1,70683,213,9382,0,0,0,1892
"23","1893",773,773,1863,1570,1294,43,33,41593,15913,7180,460,6143,3342,0,830.49,0,521,639,6,63724,276,10315,0,0,0,1893
"24","1894",781,781,1929,1596,1299,29,37,41494,17809,8187,629,5870,3333,0,1304.14,0,488,602,3,64116,297,11796,0,0,0,1894
"25","1895",781,781,1923,1594,1287,46,44,41421,16827,7322,488,5120,3623,0,724.1,0,396,668,4,62634,307,10514,0,0,0,1895
"26","1896",778,778,1885,1584,1306,55,28,41286,16141,6665,404,4854,3523,0,651.81,0,411,636,4,61138,278,9560,0,0,0,1896
"27","1897",782,782,1883,1614,1362,49,26,42012,16523,6693,368,4729,3734,0,573.85,0,401,750,8,62211,252,9536,0,0,0,1897
"28","1898",895,895,2086,1840,1609,85,17,47864,16955,6387,299,5092,4247,0,543.96,0,381,888,15,68706,231,9129,0,0,0,1898
"29","1899",900,900,2112,1842,1593,89,33,47665,17741,6793,352,4979,3867,0,602.65,0,361,894,61,68816,249,9672,0,0,0,1899
"30","1900",553,553,1357,1136,934,68,13,29742,10925,4070,254,3034,2697,0,329.47,0,220,530,16,42723,201,5932,0,0,0,1900
"31","1901",1094,1094,2545,2218,1913,122,35,58629,20957,7573,455,5465,6977,0,726.89,0,467,873,18,83506,305,11069,0,0,0,1901
"32","1902",1091,1091,2521,2230,1954,158,33,59179,20350,6948,354,5442,6656,0,754.48,0,412,770,16,82560,276,9896,0,0,0,1902
"33","1903",1099,1099,2565,2228,1909,167,49,58929,19770,6792,335,5445,7966,0,597.73,0,447,764,12,81634,323,9899,0,0,0,1903
"34","1904",1219,1219,2817,2496,2186,249,39,65996,20358,6505,331,5742,9303,0,514.5,0,508,801,47,89520,308,9307,0,0,0,1904
"35","1905",1218,1218,3019,2474,1976,224,44,65942,20219,6887,338,6272,9569,0,595.53,0,541,830,22,88956,499,9651,0,0,0,1905
"36","1906",1207,1207,3073,2454,1910,277,86,65118,19701,6409,261,6258,9098,0,572.4,0,462,770,28,87541,546,8883,0,0,0,1906
"37","1907",1202,1202,3218,2466,1828,280,90,65470,19657,6068,244,6312,8696,0,584.38,0,469,775,20,87494,637,8711,0,0,0,1907
"38","1908",1228,1228,3476,2488,1677,289,108,66930,19242,5866,267,6119,9110,0,767.38,0,471,768,30,88555,810,8421,0,0,0,1908
"39","1909",1218,1218,3544,2482,1619,273,114,66639,19641,6244,259,6663,9355,0,749.53,0,565,767,38,88590,868,8811,0,0,0,1909
"40","1910",1223,1223,3714,2498,1551,233,125,67121,20328,6882,361,7487,9698,0,826.32,0,540,805,34,89841,951,9589,0,0,0,1910
"41","1911",1218,1218,3844,2474,1439,167,137,66132,21894,8242,514,7917,9885,64.15,1102.46,0,539,836,49,91841,1032,11150,0,0,0,1911
"42","1912",1219,1219,3837,2462,1431,160,133,65640,21991,8184,443,7662,9785,77.13,1329.5,0,559,718,45,91855,1010,11135,0,0,0,1912
"43","1913",1213,1213,4058,2466,1319,196,165,66201,21025,7513,469,7322,9459,65.91,1276.12,0,529,690,51,91793,1134,9977,0,0,0,1913
"44","1914",1836,1836,6061,3758,2067,341,248,100527,31108,10823,711,11145,14953,920.78,1049.9,0,799,1003,50,134289,1684,14521,0,0,0,1914
"45","1915",1833,1833,6005,3731,2057,348,238,99970,30454,10740,635,11122,14115,917.23,1183.11,0,730,1008,69,129237,1661,14212,0,0,0,1915
"46","1916",1227,1227,4234,2494,1314,233,182,67534,20311,6800,383,7088,9525,50.93,760.33,0,500,629,51,91095,1178,8885,0,0,0,1916
"47","1917",1225,1225,4081,2494,1382,249,163,67511,20351,6706,335,6888,8641,46.06,627.76,0,412,575,38,91661,1105,8944,0,0,0,1917
"48","1918",1006,1006,3038,2032,1280,196,112,55180,17064,5652,235,5728,5875,56.43,958.04,0,299,458,23,75636,749,7380,0,0,0,1918
"49","1919",1113,1113,3534,2236,1302,189,100,60337,19601,6845,447,5981,6871,65.62,991.19,0,374,529,43,82867,933,8680,0,0,0,1919
"50","1920",1228,1228,3999,2468,1395,183,143,66789,23278,8552,630,6824,7269,61.76,1049.14,0,408,546,52,93898,1060,10769,0,0,0,1920
"51","1921",1226,1226,4265,2456,1273,121,177,66008,24752,9855,937,6825,6962,63.2,1091.63,0,360,564,50,95612,1184,11922,0,0,0,1921
"52","1922",1231,1231,4432,2481,1240,145,156,66292,24578,9980,1055,7218,6935,64.29,1154.63,0,382,609,55,95711,1238,12041,0,0,0,1922
"53","1923",1226,1226,4451,2463,1224,123,167,66265,24194,9788,980,7595,7007,66.55,1181.21,0,359,599,40,96258,1232,11876,0,0,0,1923
"54","1924",1224,1224,4505,2462,1198,137,175,65820,24211,9864,896,7352,6624,69.23,1163.7,0,338,548,53,95683,1254,11686,0,0,0,1924
"55","1925",1224,1224,4510,2457,1209,106,175,65500,24918,10496,1169,7768,6687,67.86,1260.37,0,348,501,35,96251,1249,12589,0,0,0,1925
